speed,rpm,fuel,lat,lon,throttle,temp,timestamp
56,3401,96.22,3.236699,5.872299,24,41.68,2025-12-16T20:40:13.347647
59,3405,96.19,3.236637,5.872237,28,41.88,2025-12-16T20:40:13.448523
61,3485,96.18,3.236693,5.872293,33,41.89,2025-12-16T20:40:13.549803
63,3556,96.14,3.236643,5.872243,29,42.24,2025-12-16T20:40:13.650662
65,3548,96.1,3.236576,5.872176,27,42.39,2025-12-16T20:40:13.751635
66,3543,96.08,3.236496,5.872096,26,42.64,2025-12-16T20:40:13.852454
68,3504,96.05,3.23648,5.87208,21,42.44,2025-12-16T20:40:13.953376
69,3517,96.01,3.236406,5.872006,25,42.88,2025-12-16T20:40:14.054049
67,3602,95.97,3.236347,5.871947,25,42.87,2025-12-16T20:40:14.155071
70,3683,95.95,3.236343,5.871943,23,42.86,2025-12-16T20:40:14.256358
72,3673,95.92,3.236374,5.871974,22,42.8,2025-12-16T20:40:14.357487
72,3711,95.87,3.236466,5.872066,24,43.27,2025-12-16T20:40:14.458296
71,3699,95.86,3.236536,5.872136,27,43.19,2025-12-16T20:40:14.559289
70,3781,95.85,3.236458,5.872058,24,43.43,2025-12-16T20:40:14.660555
71,3866,95.82,3.236532,5.872132,20,43.56,2025-12-16T20:40:14.761953
74,3834,95.77,3.236476,5.872076,24,43.41,2025-12-16T20:40:14.863003
77,3894,95.73,3.236569,5.872169,25,43.23,2025-12-16T20:40:14.964335
80,3910,95.71,3.236489,5.872089,29,43.33,2025-12-16T20:40:15.065540
80,3944,95.7,3.236473,5.872073,26,43.77,2025-12-16T20:40:15.166408
82,4038,95.67,3.236398,5.871998,27,44.07,2025-12-16T20:40:15.267449
84,4089,95.65,3.236339,5.871939,31,44.33,2025-12-16T20:40:15.368594
86,4170,95.63,3.236363,5.871963,31,44.17,2025-12-16T20:40:15.469476
89,4219,95.61,3.236384,5.871984,36,44.65,2025-12-16T20:40:15.570295
90,4192,95.59,3.236324,5.871924,40,44.64,2025-12-16T20:40:15.670996
93,4279,95.57,3.236304,5.871904,40,44.68,2025-12-16T20:40:15.771803
95,4270,95.56,3.236213,5.871813,40,45.07,2025-12-16T20:40:15.872638
96,4318,95.53,3.236164,5.871764,35,45.15,2025-12-16T20:40:15.973433
95,4404,95.51,3.236154,5.871754,40,45.43,2025-12-16T20:40:16.074133
98,4455,95.46,3.236112,5.871712,44,45.74,2025-12-16T20:40:16.174747
101,4523,95.43,3.236097,5.871697,42,46.14,2025-12-16T20:40:16.275638
99,4545,95.42,3.236082,5.871682,42,46.38,2025-12-16T20:40:16.376443
98,4499,95.39,3.235985,5.871585,44,46.75,2025-12-16T20:40:16.477189
101,4516,95.35,3.235901,5.871501,44,47.09,2025-12-16T20:40:16.578133
101,4517,95.33,3.235959,5.871559,49,47.24,2025-12-16T20:40:16.678733
103,4601,95.31,3.236027,5.871627,45,47.15,2025-12-16T20:40:16.779337
106,4672,95.29,3.235932,5.871532,45,47.24,2025-12-16T20:40:16.880321
106,4719,95.25,3.235897,5.871497,46,47.48,2025-12-16T20:40:16.980887
104,4698,95.21,3.235957,5.871557,46,47.66,2025-12-16T20:40:17.081242
105,4775,95.17,3.236039,5.871639,51,47.89,2025-12-16T20:40:17.182165
106,4807,95.14,3.236004,5.871604,56,48.02,2025-12-16T20:40:17.283164
104,4850,95.1,3.235987,5.871587,54,47.96,2025-12-16T20:40:17.383767
105,4804,95.06,3.235975,5.871575,59,48.43,2025-12-16T20:40:17.484291
103,4864,95.05,3.235909,5.871509,59,48.85,2025-12-16T20:40:17.585246
101,4895,95.03,3.235993,5.871593,61,48.88,2025-12-16T20:40:17.685982
102,4880,94.98,3.236063,5.871663,63,49.0,2025-12-16T20:40:17.787046
100,4907,94.94,3.236128,5.871728,65,49.44,2025-12-16T20:40:17.888018
102,4996,94.9,3.236165,5.871765,63,49.39,2025-12-16T20:40:17.988977
101,4966,94.85,3.236123,5.871723,66,49.28,2025-12-16T20:40:18.090168
102,4917,94.84,3.236172,5.871772,68,49.62,2025-12-16T20:40:18.190850
100,4957,94.81,3.236135,5.871735,69,49.55,2025-12-16T20:40:18.291770
103,4920,94.77,3.236186,5.871786,68,49.63,2025-12-16T20:40:18.392570
104,4880,94.76,3.236214,5.871814,64,49.88,2025-12-16T20:40:18.493150
107,4844,94.73,3.236305,5.871905,68,50.13,2025-12-16T20:40:18.593786
109,4943,94.7,3.236389,5.871989,64,50.13,2025-12-16T20:40:18.694413
108,5025,94.68,3.236308,5.871908,59,50.42,2025-12-16T20:40:18.795465
111,5087,94.64,3.236278,5.871878,59,50.28,2025-12-16T20:40:18.895798
114,5141,94.62,3.236211,5.871811,62,50.77,2025-12-16T20:40:18.996406
113,5165,94.58,3.236141,5.871741,59,51.08,2025-12-16T20:40:19.097114
113,5150,94.53,3.236154,5.871754,64,51.12,2025-12-16T20:40:19.197646
116,5100,94.52,3.236117,5.871717,67,51.24,2025-12-16T20:40:19.298236
119,5167,94.49,3.236177,5.871777,72,51.09,2025-12-16T20:40:19.399203
122,5139,94.44,3.236189,5.871789,69,51.09,2025-12-16T20:40:19.500642
123,5181,94.4,3.236164,5.871764,74,51.58,2025-12-16T20:40:19.601730
125,5163,94.39,3.236092,5.871692,72,51.83,2025-12-16T20:40:19.702309
124,5157,94.34,3.236119,5.871719,68,51.92,2025-12-16T20:40:19.803079
124,5109,94.31,3.236076,5.871676,67,51.74,2025-12-16T20:40:19.903958
126,5144,94.3,3.236025,5.871625,62,51.69,2025-12-16T20:40:20.004985
126,5244,94.28,3.235972,5.871572,60,51.57,2025-12-16T20:40:20.106087
129,5252,94.24,3.235995,5.871595,58,51.84,2025-12-16T20:40:20.206815
132,5223,94.21,3.236045,5.871645,53,52.27,2025-12-16T20:40:20.307367
132,5228,94.16,3.236108,5.871708,53,52.55,2025-12-16T20:40:20.407923
131,5290,94.14,3.236046,5.871646,58,52.96,2025-12-16T20:40:20.508586
133,5283,94.13,3.236105,5.871705,56,52.99,2025-12-16T20:40:20.609443
134,5280,94.11,3.236061,5.871661,56,53.14,2025-12-16T20:40:20.710155
133,5285,94.07,3.236072,5.871672,59,53.45,2025-12-16T20:40:20.811354
136,5269,94.03,3.236027,5.871627,60,53.83,2025-12-16T20:40:20.912088
138,5271,94.01,3.235957,5.871557,60,53.99,2025-12-16T20:40:21.012781
139,5248,93.99,3.236045,5.871645,60,53.89,2025-12-16T20:40:21.114105
139,5312,93.95,3.236043,5.871643,56,53.71,2025-12-16T20:40:21.214772
137,5385,93.9,3.236073,5.871673,57,53.54,2025-12-16T20:40:21.315473
135,5386,93.88,3.236128,5.871728,53,53.38,2025-12-16T20:40:21.416090
133,5417,93.84,3.236058,5.871658,52,53.19,2025-12-16T20:40:21.517091
135,5387,93.81,3.236151,5.871751,48,53.07,2025-12-16T20:40:21.617867
133,5403,93.77,3.236185,5.871785,50,53.0,2025-12-16T20:40:21.718491
136,5401,93.75,3.236209,5.871809,52,53.46,2025-12-16T20:40:21.819415
138,5363,93.7,3.236307,5.871907,54,53.61,2025-12-16T20:40:21.920086
137,5325,93.68,3.236269,5.871869,54,54.01,2025-12-16T20:40:22.020682
135,5341,93.64,3.236288,5.871888,49,54.36,2025-12-16T20:40:22.121608
138,5374,93.6,3.236338,5.871938,45,54.59,2025-12-16T20:40:22.222526
140,5385,93.58,3.236279,5.871879,48,55.08,2025-12-16T20:40:22.323550
138,5482,93.55,3.236267,5.871867,50,55.19,2025-12-16T20:40:22.424565
141,5483,93.53,3.236251,5.871851,50,55.6,2025-12-16T20:40:22.525147
142,5565,93.52,3.236232,5.871832,52,55.86,2025-12-16T20:40:22.626360
145,5623,93.5,3.236242,5.871842,57,55.98,2025-12-16T20:40:22.727007
148,5629,93.46,3.236234,5.871834,57,56.29,2025-12-16T20:40:22.827668
146,5617,93.42,3.236214,5.871814,62,56.38,2025-12-16T20:40:22.928695
145,5617,93.4,3.236254,5.871854,59,56.23,2025-12-16T20:40:23.029086
145,5576,93.36,3.236341,5.871941,64,56.06,2025-12-16T20:40:23.129868
146,5547,93.33,3.236347,5.871947,64,56.54,2025-12-16T20:40:23.230649
148,5559,93.29,3.236283,5.871883,61,56.46,2025-12-16T20:40:23.331018
147,5595,93.27,3.236347,5.871947,61,56.77,2025-12-16T20:40:23.431530
149,5682,93.23,3.23642,5.87202,60,56.85,2025-12-16T20:40:23.532185
148,5687,93.19,3.23642,5.87202,60,56.84,2025-12-16T20:40:23.632675
150,5726,93.16,3.236383,5.871983,55,57.25,2025-12-16T20:40:23.733778
152,5743,93.11,3.236313,5.871913,60,57.68,2025-12-16T20:40:23.834445
152,5826,93.08,3.236404,5.872004,65,57.97,2025-12-16T20:40:23.935291
155,5841,93.07,3.236454,5.872054,60,58.08,2025-12-16T20:40:24.035868
157,5941,93.04,3.236414,5.872014,57,58.21,2025-12-16T20:40:24.136502
156,5924,93.02,3.236367,5.871967,61,58.66,2025-12-16T20:40:24.237355
157,5973,92.99,3.236303,5.871903,57,59.08,2025-12-16T20:40:24.337962
159,5931,92.96,3.236241,5.871841,54,59.46,2025-12-16T20:40:24.438557
160,5913,92.95,3.236144,5.871744,56,59.67,2025-12-16T20:40:24.538942
161,5918,92.91,3.236168,5.871768,55,59.68,2025-12-16T20:40:24.639522
159,5979,92.88,3.236124,5.871724,54,59.66,2025-12-16T20:40:24.740093
161,6000,92.83,3.236182,5.871782,52,59.55,2025-12-16T20:40:24.841045
162,5970,92.8,3.236138,5.871738,47,59.47,2025-12-16T20:40:24.941476
165,5986,92.77,3.236062,5.871662,45,59.72,2025-12-16T20:40:25.042306
166,6000,92.75,3.236161,5.871761,49,59.86,2025-12-16T20:40:25.143027
167,5990,92.74,3.236128,5.871728,50,59.8,2025-12-16T20:40:25.243633
170,6000,92.71,3.236111,5.871711,53,59.77,2025-12-16T20:40:25.344097
171,5979,92.68,3.236134,5.871734,58,59.76,2025-12-16T20:40:25.444546
169,6000,92.65,3.236233,5.871833,59,60.08,2025-12-16T20:40:25.545509
169,6000,92.63,3.236225,5.871825,58,60.52,2025-12-16T20:40:25.646472
169,6000,92.59,3.236213,5.871813,55,60.35,2025-12-16T20:40:25.747430
168,6000,92.54,3.236144,5.871744,50,60.49,2025-12-16T20:40:25.848447
166,6000,92.53,3.236065,5.871665,54,60.92,2025-12-16T20:40:25.949286
166,5977,92.51,3.236134,5.871734,49,60.92,2025-12-16T20:40:26.050289
164,6000,92.5,3.236202,5.871802,53,61.25,2025-12-16T20:40:26.150957
164,6000,92.47,3.236277,5.871877,53,61.69,2025-12-16T20:40:26.251524
163,6000,92.45,3.236242,5.871842,57,61.64,2025-12-16T20:40:26.352107
163,6000,92.42,3.236321,5.871921,52,61.7,2025-12-16T20:40:26.452669
162,6000,92.39,3.236414,5.872014,51,61.8,2025-12-16T20:40:26.553161
161,5985,92.35,3.236449,5.872049,48,61.62,2025-12-16T20:40:26.653799
163,6000,92.32,3.236481,5.872081,45,62.06,2025-12-16T20:40:26.754262
162,5982,92.28,3.236451,5.872051,41,62.33,2025-12-16T20:40:26.855140
160,6000,92.23,3.236471,5.872071,36,62.65,2025-12-16T20:40:26.955865
159,6000,92.19,3.236509,5.872109,35,63.06,2025-12-16T20:40:27.056548
158,5991,92.15,3.236599,5.872199,38,63.19,2025-12-16T20:40:27.157289
160,5982,92.1,3.236499,5.872099,36,63.24,2025-12-16T20:40:27.258447
160,6000,92.08,3.236417,5.872017,37,63.36,2025-12-16T20:40:27.358997
162,5999,92.06,3.236432,5.872032,34,63.34,2025-12-16T20:40:27.459948
160,5973,92.02,3.236531,5.872131,35,63.46,2025-12-16T20:40:27.560488
161,6000,91.98,3.236593,5.872193,39,63.37,2025-12-16T20:40:27.661115
161,6000,91.96,3.2366,5.8722,42,63.2,2025-12-16T20:40:27.761749
163,6000,91.94,3.236691,5.872291,40,63.46,2025-12-16T20:40:27.862387
165,6000,91.91,3.23674,5.87234,43,63.89,2025-12-16T20:40:27.963003
166,6000,91.86,3.236736,5.872336,41,63.7,2025-12-16T20:40:28.063695
164,6000,91.84,3.23677,5.87237,38,63.8,2025-12-16T20:40:28.164151
167,6000,91.81,3.236845,5.872445,43,63.7,2025-12-16T20:40:28.264888
165,6000,91.78,3.236892,5.872492,44,63.76,2025-12-16T20:40:28.365725
168,6000,91.76,3.236968,5.872568,41,64.1,2025-12-16T20:40:28.466867
171,6000,91.75,3.237057,5.872657,45,64.25,2025-12-16T20:40:28.567707
172,6000,91.72,3.23707,5.87267,47,64.09,2025-12-16T20:40:28.668701
173,6000,91.7,3.237056,5.872656,49,64.19,2025-12-16T20:40:28.769646
176,5990,91.67,3.237004,5.872604,47,64.47,2025-12-16T20:40:28.870463
178,5978,91.64,3.237038,5.872638,49,64.86,2025-12-16T20:40:28.971635
176,5968,91.62,3.237037,5.872637,48,65.3,2025-12-16T20:40:29.072305
179,5958,91.59,3.237003,5.872603,45,65.53,2025-12-16T20:40:29.172754
181,5926,91.54,3.236984,5.872584,50,65.45,2025-12-16T20:40:29.273298
181,5974,91.51,3.236973,5.872573,47,65.54,2025-12-16T20:40:29.374082
182,6000,91.49,3.23691,5.87251,49,65.88,2025-12-16T20:40:29.474906
184,6000,91.47,3.236996,5.872596,44,65.96,2025-12-16T20:40:29.575520
182,6000,91.45,3.23693,5.87253,44,66.01,2025-12-16T20:40:29.676493
180,6000,91.44,3.236852,5.872452,45,66.41,2025-12-16T20:40:29.776897
182,6000,91.43,3.236938,5.872538,43,66.66,2025-12-16T20:40:29.877491
183,6000,91.39,3.236969,5.872569,46,66.93,2025-12-16T20:40:29.978174
182,5980,91.37,3.236887,5.872487,44,67.13,2025-12-16T20:40:30.079001
184,6000,91.33,3.236915,5.872515,48,67.45,2025-12-16T20:40:30.180348
183,6000,91.29,3.236822,5.872422,50,67.68,2025-12-16T20:40:30.281073
184,6000,91.25,3.236753,5.872353,55,68.15,2025-12-16T20:40:30.382137
187,5985,91.24,3.236839,5.872439,52,68.06,2025-12-16T20:40:30.483305
185,6000,91.22,3.236752,5.872352,51,67.86,2025-12-16T20:40:30.584520
184,6000,91.17,3.23671,5.87231,46,67.73,2025-12-16T20:40:30.684937
182,6000,91.15,3.236709,5.872309,49,68.19,2025-12-16T20:40:30.785298
183,6000,91.13,3.236655,5.872255,50,68.69,2025-12-16T20:40:30.886008
183,5993,91.1,3.236694,5.872294,52,69.11,2025-12-16T20:40:30.986832
186,5959,91.08,3.236781,5.872381,54,68.96,2025-12-16T20:40:31.087687
184,5970,91.04,3.236782,5.872382,51,69.0,2025-12-16T20:40:31.188525
186,6000,90.99,3.236741,5.872341,55,69.47,2025-12-16T20:40:31.289257
187,6000,90.94,3.236755,5.872355,56,69.6,2025-12-16T20:40:31.389964
186,6000,90.9,3.236676,5.872276,54,69.97,2025-12-16T20:40:31.490311
187,6000,90.87,3.236726,5.872326,52,70.25,2025-12-16T20:40:31.590750
185,6000,90.84,3.23667,5.87227,57,70.29,2025-12-16T20:40:31.691196
186,5956,90.79,3.236576,5.872176,59,70.6,2025-12-16T20:40:31.792103
185,5969,90.76,3.236661,5.872261,64,70.49,2025-12-16T20:40:31.893062
186,5940,90.71,3.236643,5.872243,61,70.41,2025-12-16T20:40:31.994043
187,5976,90.69,3.236611,5.872211,61,70.23,2025-12-16T20:40:32.095019
189,5954,90.67,3.236681,5.872281,65,70.28,2025-12-16T20:40:32.195392
188,5998,90.63,3.236688,5.872288,63,70.49,2025-12-16T20:40:32.296031
188,6000,90.6,3.236614,5.872214,59,70.9,2025-12-16T20:40:32.396478
190,5986,90.59,3.236545,5.872145,54,70.86,2025-12-16T20:40:32.497174
189,6000,90.57,3.236589,5.872189,56,71.03,2025-12-16T20:40:32.597983
189,5982,90.52,3.236491,5.872091,54,71.28,2025-12-16T20:40:32.698906
189,6000,90.5,3.236442,5.872042,56,71.23,2025-12-16T20:40:32.799847
189,5998,90.46,3.236424,5.872024,55,71.68,2025-12-16T20:40:32.900634
188,6000,90.45,3.236395,5.871995,52,71.63,2025-12-16T20:40:33.001166
189,6000,90.4,3.236453,5.872053,49,71.85,2025-12-16T20:40:33.101722
190,6000,90.35,3.236437,5.872037,52,71.8,2025-12-16T20:40:33.202804
191,6000,90.32,3.236436,5.872036,48,71.92,2025-12-16T20:40:33.303280
189,6000,90.28,3.236518,5.872118,53,72.17,2025-12-16T20:40:33.404345
190,5976,90.24,3.236492,5.872092,53,72.3,2025-12-16T20:40:33.504637
188,6000,90.22,3.236427,5.872027,55,72.22,2025-12-16T20:40:33.605487
188,6000,90.19,3.236499,5.872099,59,72.11,2025-12-16T20:40:33.706125
191,6000,90.15,3.236429,5.872029,54,72.15,2025-12-16T20:40:33.806691
191,5954,90.13,3.236491,5.872091,59,72.47,2025-12-16T20:40:33.907478
193,6000,90.1,3.236393,5.871993,55,72.6,2025-12-16T20:40:34.008221
191,5954,90.08,3.236328,5.871928,52,72.97,2025-12-16T20:40:34.109377
190,6000,90.03,3.236322,5.871922,50,73.47,2025-12-16T20:40:34.210138
191,6000,89.99,3.23634,5.87194,45,73.86,2025-12-16T20:40:34.310967
191,6000,89.97,3.236289,5.871889,44,74.23,2025-12-16T20:40:34.411549
189,6000,89.95,3.236295,5.871895,46,74.59,2025-12-16T20:40:34.512541
188,6000,89.92,3.236335,5.871935,50,75.02,2025-12-16T20:40:34.612917
186,5984,89.87,3.236361,5.871961,50,75.26,2025-12-16T20:40:34.713481
187,6000,89.85,3.236457,5.872057,46,75.32,2025-12-16T20:40:34.814469
188,5976,89.81,3.236432,5.872032,48,75.15,2025-12-16T20:40:34.915574
191,5946,89.78,3.236391,5.871991,49,75.11,2025-12-16T20:40:35.016859
191,5933,89.74,3.236311,5.871911,51,75.43,2025-12-16T20:40:35.117920
192,5998,89.71,3.236319,5.871919,54,75.88,2025-12-16T20:40:35.218515
193,5983,89.67,3.236294,5.871894,54,75.7,2025-12-16T20:40:35.319506
191,5987,89.63,3.236225,5.871825,52,75.87,2025-12-16T20:40:35.420477
189,5995,89.6,3.236238,5.871838,57,76.34,2025-12-16T20:40:35.521263
